Date,Open,High,Low,Close,Adj Close,Volume
2022-12-01,26.580000,26.790001,20.770000,24.500000,21.805475,1753508800
2023-01-01,23.540001,27.600000,21.830000,26.070000,23.202806,1485512700
2023-02-01,26.070000,27.059999,24.420000,25.240000,22.464090,1124794800
2023-03-01,25.309999,26.230000,22.480000,23.450001,20.870956,1492304700
2023-04-01,24.090000,27.620001,23.150000,23.700001,21.093460,1137044600
2023-05-01,23.700001,27.030001,22.420000,26.389999,26.389999,1392143700
